Esp,nah
cónyuge,tosiua
cónyuge,toueue
No pensamos como la gente piensa,amo ma timoiljuikaj kej maseualmej moiljuiaj
Cuidado,ximomokuitlauikaj
quizás haya alguien que se los lleve como presa suya mediante la filosofía y el vano engaño del mundo,para axaka inmechkajkayauas ika miak tlajtoli yejyektsitsij uan keja nopa inmechilpis ipan tlen axmelauak uan tlen axipati
CANCIONES,uikatl
¿QUÉ RESPUESTA DARÍA?,¿kenijkatsa tijnankiliskia?
¿Qué advertencia dio él sobre la forma de pensar de las personas?,¿kenke ya kiijtok moneki timomokuitlauisej uan kiampa amo timoiljuisej kej sekinok maseualmej?
Dé un ejemplo de la forma de pensar del mundo y explique cómo rechazarlo,xikijto se tlamantli tlen maseualmej moiljuiaj uan xikixtoma kenijkatsa uelis tikixnamikisej
¿Cómo lo ha ayudado este artículo?,¿kenijkatsa mitspaleuijtok ni tlamachtili?
¿Qué advertencia les dio él a las personas?,¿tlake kintlajtolmakakej maseualmej?
SEGÚN parece él escribió su carta a los hermanos al final de su primer encierro en Roma tal vez en el año,uelis ya kintlajkuiljuilik ikniuaj katli kema nechka kisaskia kampa kitsaktoyaj ipan rroma uelis ipan xiuitl kema achtoui kitsajkej
En esta carta les habló de la importancia de llegar a tener comprensión espiritual es decir la capacidad de ver las cosas como las ve Dios,ipan nopa amatlajkuiloli kiniljuik kenke tlauel monekiyaya kimatisej tlen itonal teko tenextilia o kiitasej se keski tlamantli kej teotsij kiita
Él les dio esta advertencia,ya nojkia kintlajtolmakak
Esto lo digo para que nadie los alucine con argumentos persuasivos Cuidado quizás haya alguien que se los lleve como presa suya mediante la filosofía y el vano engaño según la tradición de los hombres según las cosas elementales del mundo y no según él,ya ni niinmechiljuia para axaka ma inmechkajkayauas inijuantij tlen yejyektsi kamatij uan kinekij inmechuikasej ipan seyok tlamachtili ximomokuitlauikaj para axaka inmechkajkayauas ika miak tlajtoli yejyektsitsij uan keja nopa inmechilpis ipan tlen axmelauak uan tlen axipati tlen inijuantij inmechmachtiaj uala tlen inintlalnamikilis tlakamej uan tlen ajakamej uan axya nopa tlen xitlauak inijuantij axinmechmachtiaj tlen ya
Luego les explicó por qué son incorrectas algunas ideas populares y por qué el modo de pensar del mundo puede atraer a las personas imperfectas,teipa kinixtomilik kenke tlauel amo kuali se keski tlamantli tlen maseualmej moiljuiaj uan kenke tlen inijuantij moiljuiaj ueliskia kinyoltilanas
Puede hacer creer a alguien que es más inteligente o mejor que los demás,uelis kichiuas sekij ma moiljuikaj san inijuantij tlauel ininpati o san inijuantij tlauel tlalnamikij uan sekinok amo
Así que él les escribió esta carta para ayudarlos a rechazar el modo de pensar del mundo y otras cosas malas,yeka kintlajkuiljuilik pampa kinekiyaya kinpaleuis amo ma moiljuikaj kej maseualmej uan amo ma kichiuakaj tlen amo kuali
¿Por qué vamos a analizar algunas ideas populares en el mundo?,¿kenke ipan ni tlamachtili tikitasej tlen miakej moiljuiaj?
Las personas que tienen la forma de pensar del mundo no hacen caso de las normas de Dios,katli amo kitekipanouaj teotsij amo moiljuiaj kej ya uan amo kinekij kichiuasej tlen ya tlanauatia
Su influencia puede debilitar poco a poco nuestra fe,kej inijuantij moiljuiaj uelis kichiuas ayokmo kuali ma titlaneltokakaj
Todos estamos expuestos al modo de pensar del mundo que se promueve en la televisión Internet los lugares de empleo y la escuela,uan kampa ueli tijkakij tlen inijuantij moiljuiaj kej ipan televisión semtlaltikpamatlatl kampa titekitij uan kampa timomachtiaj
En este artículo examinaremos qué hacer para que esta forma de pensar no nos corrompa la mente,ipan ni tlamachtili tikitasej tlake uelis tijchiuasej uan kiampa amo timoiljuisej kej inijuantij
Analizaremos cinco ideas populares y veremos cómo rechazarlas,tikitasej makuili tlamantli tlen miakej moiljuiaj uan nojkia tikitasej tlake uelis tijchiuasej tlaj amo tijnekij kiampa timoiljuisej
¿ES NECESARIO CREER EN DIOS?,¿moneki ma titlaneltokakaj ipan teotsij?
¿Qué piensan muchas personas y por qué lo piensan?,¿tlake moiljuiaj miakej maseualmej uan kenke kiampa moiljuiaj?
No necesito creer en Dios para ser una buena persona,uelis nijchiuas tlen kuali maske amo nitlaneltokas ipan teotsij
En muchos países es común escuchar a las personas decir que no creen en Dios,ipan miak altepemej miakej kiijtouaj amo tlaneltokaj ipan teotsij
Tal vez no han examinado en profundidad si Dios existe o no pero les atrae la idea de ser libres de hacer todo lo que les gusta,uelis amo kema moyoliljuijtokej tlaj teotsij nelia itstok o amo uan kinpaktia moiljuisej uelis kichiuasej san tlen inijuantij kinekij
Otras tal vez piensen que es inteligente afirmar que no necesitan creer en Dios para tener buenos principios,sekij moiljuiaj tlauel tlalnamikij kema kiijtouaj uelis kuali nimonejnemiltis maske amo nitlaneltoka ipan teotsij
¿Cómo podemos razonar con quien dice que no existe un Creador de todas las cosas?,¿tlake uelis tikixtomilisej se akajya katli kiijtoua amo itstok se akajya katli kichijchijki nochi tlen onka?
¿Es lógico creer que no existe un Creador de todas las cosas?,¿kinamiki timoiljuisej amo itstok katli kichijchijki nochi tlen onka?
Si tratamos de buscar la respuesta en la ciencia quizá acabe confundiéndonos toda la información que se publica,tlaj san timomachtisej tlen ciencia kiijtoua uelis san timokuapolosej pampa tlamachtiaj miak tlamantli
Pero la respuesta es sencilla,nopa tlajtlanili amo ouij tijnankilisej
Así como las casas han tenido que ser construidas por alguien todos los seres vivos han sido creados por alguien,sanse kej se kali kichijchiua se akajya nochi tlen yoltok nojkia kinchijchijtok se akajya
Hasta las células más sencillas son muchísimo más complejas que las casas pues son capaces de reproducirse algo que ninguna casa puede hacer,maske se keski células nesi amo tlauel ipati tlauel kuali kinchijchijtokej pampa uelij momiakiliaj se kali amo kema ueliskia kichiuas nopa
Una célula está diseñada para almacenar y transmitir la información necesaria a fin de hacer copias de sí misma,se célula kuali kimati kenijkatsa eli uan kema momiakilia kejuak kiixkopina tlen kimati uan yeka yolij sekinok sanse kej ya
¿Quién es el responsable de ese diseño?,¿ajkia kichijki nopa células ma kimatikaj kenijkatsa momiakilisej?
el libro dice,amochtli kiijtoua
Toda casa es construida por alguien pero el que ha construido todas las cosas es Dios,nochi kaltinij kipiaj ajkeya kinchijchijtok pero teotsij yajaya tlen kichijchijtok nochi tlen onka
¿Qué podemos decir de la idea de que no hace falta creer en Dios para saber lo que está bien o mal?,¿uelis toselti tikijtosej tlake kuali uan tlake amo kuali?
¿qué podemos decir de la idea de que no hace falta creer en Dios para saber lo que está bien o mal?,¿kinamiki timoiljuisej uelis tijmatisej tlake kuali uan tlake amo maske amo titlaneltokasej ipan teotsij?
el libro reconoce que incluso quienes no creen en Dios pueden tener buenos principios,amochtli kiijtoua katli amo tlaneltokaj ipan teotsij kena uelis kuali monejnemiltisej
es posible que respeten y amen a sus padres,sekij kintlepanitaj uan kinikneliaj inintatauaj maske amo tlaneltokaj ipan teotsij
Pero si no reconocen que Dios es el Creador y que tiene el derecho a decidir lo que está bien o mal pueden tomar decisiones lamentables,uan maske miakej kuali monejnemiltiaj tlaj amo kineltokaj teotsij kichijchijtok nochi tlen onka uan san ya kinamiki kiijtos tlake kuali uan tlake amo kuali tlen kichiuasej amo kuali kisas
Muchas personas razonables admiten que la terrible situación del mundo demuestra que el hombre necesita la ayuda de Dios,miakej maseualmej kiijtouaj moneki ma techpaleui teotsij pampa tlauel amo kuali tiitstokej ipan ni tonali
Por tanto debemos resistir la tentación de pensar que no necesitamos ni creer en Dios ni guiarnos por sus principios para tomar buenas decisiones,yeka amo kinamiki timoiljuisej uelis kuali tijtlapejpenisej tlen tijchiuasej maske amo titlaneltokasej ipan teotsij o maske amo tijchiuasej tlen techtlajtolmaka
¿NECESITAMOS LA RELIGIÓN?,¿moneki tiitstosej ipan se religión?
¿Qué piensan muchas personas sobre la religión?,¿kenke miakej moiljuiaj uelis yolpakisej maske amo itstokej ipan se religión?
No tengo que pertenecer a una religión para ser feliz,uelis niyolpakis maske amo niitstos ipan se religión
Esta idea atrae a quienes creen que la religión es aburrida y no sirve para nada,sekij kiijtouaj ni pampa moiljuiaj san tlapik itstosej ipan se religión o amo kinpaktia
Además muchas religiones alejan a la gente de Dios porque enseñan que castiga a los malos en el infierno la obligan a dar dinero o se meten en política,miak religiones tlamachtiaj teotsij kintlatsakuiltia katli amo kualmej ipan ichantletl kinchiualtiaj ma temakakaj tomij o ma mokalakikaj ipan política yeka maseualmej amo kinekij itstosej ipan se religión
Por eso no nos sorprende que cada día más personas opinen que pueden ser felices sin la religión,kej panotia tonali miakej moiljuiaj uelis yolpakisej maske amo itstokej ipan se religión
Tal vez digan,uelis kiijtouaj
creen en Dios pero que no quieren pertenecer a ninguna organización religiosa,maske nitlaneltoka ipan teotsij amo nijneki niitstos ipan se religión
¿Por qué contribuye a nuestra felicidad la religión verdadera?,¿kenke religión katli melauak kichiua ma tiyolpakikaj?
¿Será verdad que podemos ser felices sin la religión?,¿nelia uelis tiyolpakisej tlaj amo tiitstosej ipan se religión?
Es cierto que podemos ser felices sin la religión falsa Pero nunca seremos felices de verdad si no somos amigos de Dios el Dios feliz,maske kena tiyolpaktosej tlaj amo tiitstosej ipan yon se religión tlen amo melauak amo kema uelis tiyolpakisej tlaj amo timouampojchiuaj iuaya teotsij teotsij katli tlauel yolpaki
Todo lo que él hace es por el bien de los demás y sus siervos somos felices porque nos centramos en ayudar al prójimo,nochi tlen kichiua tlauel kinpaleuia sekinok uan katli tijtekipanouaj nojkia tlauel tiyolpakij pampa tikinpaleuiaj sekinok
la religión verdadera contribuye a la felicidad en la familia Porque nos enseña a honrar a nuestro cónyuge y serle fieles,nopa religión katli melauak techpaleuia ma tiyolpakikaj ininuaya tochampoyouaj pampa technextilia tlauel moneki ma tijtlepanitakaj tosiua o toueue uan amo ma tikixpanokaj
educar bien a los hijos y a amar de corazón a nuestros familiares,nojkia technextilia kuali ma tikiniskaltikaj tokoneuaj uan ma tikiniknelikaj touikaljuaj ika nochi toyolo
La religión verdadera une a los siervos de Dios y les permite ser parte de organizaciones felices y de una hermandad mundial feliz,religión katli melauak kichiua maseualmej ma itstokaj sansejko ma yolpaktokaj ipan inintlanechikol uan ininuaya nochi toikniuaj katli itstokej ipan tlaltipaktli
¿Cómo podemos utilizar él para razonar sobre lo que nos hace felices?,¿kenijkatsa techpaleuia ya ma tijmatikaj tlake kichiua nelia ma tiyolpakikaj?
¿qué decir de la idea de que es posible ser feliz sin servir a Dios?,¿uelis tiyolpakisej maske amo tijtekipanosej teotsij kej miakej moiljuiaj?
Pensemos en esto,ma timotlajtlanikaj ni
¿qué nos hace felices?,¿tlake kichiua ma tiyolpakikaj?
A algunas personas les da satisfacción su carrera un deporte o algún pasatiempo,sekij tlauel kinpaktia ininteki mauiltisej ika se tlenijki o moyolpakiltisej
Otras disfrutan de atender a sus familiares y amigos,sekinok tlauel kinpaktia itstosej ininuaya ininchampoyouaj uan ininuampoyouaj
Aunque estas cosas hagan que nos sintamos bien hay algo que puede hacernos felices para siempre,maske nopa kichiua ma tiyolpakikaj onka se tlamantli tlen techpaleuis nochipa ma tiyolpaktokaj
A diferencia de los animales tenemos la capacidad de conocer a Dios y servirle fielmente,tojuantij amo tielij kej tlapialmej pampa tojuantij uelij tikixmatij teotsij uan uelij tijtekipanouaj ika nochi toyolo
Esto nos hace felices porque así nos diseñó él,nopa kichiua tlauel ma tiyolpakikaj pampa ya kiampa techchijchijki
Por eso nos alegra y nos anima reunirnos con nuestros hermanos para adorar a Dios,yeka tlauel tiyolpakij uan timoyolchikauaj kema sansejko tijueyichiuasej teotsij ininuaya toikniuaj
Y también nos da felicidad disfrutar de una hermandad unida llevar una vida limpia y tener una esperanza maravillosa,nojkia tlauel tiyolpakij pampa timosentikapaleuiaj ininuaya nochi toikniuaj pampa kuali timonejnemiltiaj uan pampa tijchiaj tijselisej tlen kuali
¿NECESITAMOS NORMAS MORALES?,¿moneki ma techmakakaj tlanauatili?
¿Qué idea sobre el sexo es común en este mundo?,¿kenijkatsa kiitaj maseualmej se motekas iuaya se akajya?
¿Por qué prohíbe el libro el sexo fuera del matrimonio?,¿kenke amochtli kiijtoua amo kuali se motekas iuaya se akajya katli amo eli tosiua o toueue?
No hay nada de malo en el sexo fuera del matrimonio,amo kenijki timotekas iuaya se akajya maske amo mosiua o moueue
Tal vez haya quien diga que la vida es para disfrutarla y que no hay por qué condenar las relaciones sexuales fuera del matrimonio,uelis maseualmej techiljuiaj kinamiki timoyolpakiltisej amo kenijki tlaj timotekasej iuaya se akajya maske amo tosiua o toueue
Pero el libro prohíbe las relaciones inmorales así que las personas no podemos tolerarlas,se maseuali amo kinamiki kiampa moiljuis pampa amochtli kiijtoua tlajtlakoli timomekatisej
Como Dios nos ha creado tiene el derecho de decir lo que podemos o no hacer,teotsij kinamiki techiljuis tlake uelis tijchiuasej uan tlake amo pampa yaya techchijchijtok
Y él solo ha dado permiso para tener relaciones sexuales a un hombre y una mujer casados entre sí,ya san kikaua se tlakatl ma moteka iuaya se siuatl tlaj mosenkajtok iuaya
Dios nos da leyes porque nos ama y porque sabe que son para nuestro bien,teotsij techmakatok itlanauatiljuaj pampa techiknelia uan pampa kineki kuali ma tiitstokaj
Cuando las familias las obedecen se tratan con amor y respeto y se sienten seguras,kema katli mosenkajtokej kineltokaj tlen tlanauatia kinpaleuia ma moiknelikaj ma motlepanitakaj uan kuali ma itstokaj
Dios castigará a quienes desobedezcan sus leyes a propósito,teotsij kitlatsakuiltis katli amo kinekij kineltokasej itlanauatiljuaj
¿Cómo podemos las personas evitar los pecados sexuales?,¿tlake techpaleuis amo ma tijchiuakaj tlen amo kuali iuaya se akajya katli axtonamik?
el libro nos enseña cómo evitar los pecados sexuales,amochtli techpaleuia ma tijmatikaj kenijkatsa amo tijchiuasej tlen amo kuali iuaya se akajya katli axtonamik
Una manera fundamental de hacerlo es controlando lo que miramos,uan tlauel techpaleuis tlaj kuali tijmokuitlauisej tlen tikitasej
él dijo,ya kiijtok
Todo el que sigue mirando a una mujer a fin de tener una pasión por ella ya ha cometido adulterio con ella en su corazón,intla se tlakatl kiita se siuatl uan ipan itlalnamikilis kineki tlen ueli kichiuas iuaya ya momekatik iuaya ipan nochi iyolo
Ahora bien si ese ojo derecho tuyo te está haciendo tropezar arráncalo y échalo de ti,uajka intla se moixtiyol kineki kitlachilis tlajtlakoli xijkixti uan xijmajkaua
Por lo tanto las personas no verán pornografía ni escucharán canciones con una letra sucia,uajka maseualmej amo kiitasej pornografía yon kitlakakilisej uikatl tlen kiijtoua kenijkatsa momekatiaj
él escribió,ya kiijtok
Amortigüen esto es den muerte a por lo tanto los miembros de su cuerpo que están sobre la tierra en cuanto a fornicación,uajka ximomakakaj cuenta para inmiktokejya uan ayok xijchiuakaj tlen inmoyolo inmechnotsa xijchiuakaj amo xijchiuakaj tlen ueli ika tlen axinmonamik
Además debemos controlar lo que pensamos y lo que hablamos,uan nojkia moneki tijmokuitlauisej tlen timoiljuiaj uan tlen tikijtouaj
¿DEBERÍAMOS DEDICAR LA VIDA A UNA CARRERA EN EL MUNDO?,¿kinamiki timosentlalisej san tijpiasej se kuali tekitl?
¿Por qué pudiera atraerles a algunos dedicar la vida a una carrera?,¿kenke sekij uelis kinekisej san mosentlalisej kipiasej se kuali tekitl?
Dedicar la vida a una carrera es la clave para ser felices,tlaj timosentlalisej tijpiasej se kuali tekitl tlauel tiyolpakisej
Muchas personas nos aconsejan que dediquemos nuestro tiempo y energías a una carrera,miakej techiljuiaj moneki tijchiuasej kampeka uan timosentlalisej tijpiasej se kuali tekitl
Tal vez nos aseguren que así obtendremos una buena posición poder y dinero,uelis techiljuisej kiampa kuali tiitstosej tijpiasej miak tomij uan nochi kuali techitasej